OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
40,cores,false,dynamic,throughput,infinite,critical,64,9.28
40,cores,false,dynamic,throughput,infinite,critical,128,9.27667
40,cores,false,dynamic,throughput,infinite,critical,256,9.28
40,cores,false,dynamic,throughput,infinite,critical,512,9.28
40,cores,false,dynamic,throughput,infinite,atomic,64,9.27333
40,cores,false,dynamic,throughput,infinite,atomic,128,9.28
40,cores,false,dynamic,throughput,infinite,atomic,256,9.37667
40,cores,false,dynamic,throughput,infinite,atomic,512,9.28
40,cores,false,dynamic,turnaround,0,tree,64,9.27333
40,cores,false,dynamic,turnaround,0,tree,128,9.27333
40,cores,false,dynamic,turnaround,0,tree,256,9.29333
40,cores,false,dynamic,turnaround,0,tree,512,9.29667
40,cores,false,dynamic,turnaround,0,critical,64,9.27667
40,cores,false,dynamic,turnaround,0,critical,128,9.27333
40,cores,false,dynamic,turnaround,0,critical,256,9.28
40,cores,false,dynamic,turnaround,0,critical,512,9.3
40,cores,false,dynamic,turnaround,0,atomic,64,9.27667
40,cores,false,dynamic,turnaround,0,atomic,128,9.27333
40,cores,false,dynamic,turnaround,0,atomic,256,9.26667
40,cores,false,dynamic,turnaround,0,atomic,512,9.28
40,cores,false,dynamic,turnaround,200,tree,64,9.30333
40,cores,false,dynamic,turnaround,200,tree,128,9.28
40,cores,false,dynamic,turnaround,200,tree,256,9.27333
40,cores,false,dynamic,turnaround,200,tree,512,9.27667
40,cores,false,dynamic,turnaround,200,critical,64,9.34667
40,cores,false,dynamic,turnaround,200,critical,128,9.27667
40,cores,false,dynamic,turnaround,200,critical,256,9.28333
40,cores,false,dynamic,turnaround,200,critical,512,9.28
40,cores,false,dynamic,turnaround,200,atomic,64,9.27667
40,cores,false,dynamic,turnaround,200,atomic,128,9.27333
40,cores,false,dynamic,turnaround,200,atomic,256,9.27667
40,cores,false,dynamic,turnaround,200,atomic,512,9.28
40,cores,false,dynamic,turnaround,infinite,tree,64,9.31667
40,cores,false,dynamic,turnaround,infinite,tree,128,9.27333
40,cores,false,dynamic,turnaround,infinite,tree,256,9.29
40,cores,false,dynamic,turnaround,infinite,tree,512,9.29
40,cores,false,dynamic,turnaround,infinite,critical,64,9.28
40,cores,false,dynamic,turnaround,infinite,critical,128,9.27667
40,cores,false,dynamic,turnaround,infinite,critical,256,9.30333
40,cores,false,dynamic,turnaround,infinite,critical,512,9.27667
40,cores,false,dynamic,turnaround,infinite,atomic,64,9.27
40,cores,false,dynamic,turnaround,infinite,atomic,128,9.31667
40,cores,false,dynamic,turnaround,infinite,atomic,256,9.27667
40,cores,false,dynamic,turnaround,infinite,atomic,512,9.34667
40,cores,false,guided,throughput,0,tree,64,9.3
40,cores,false,guided,throughput,0,tree,128,9.27
40,cores,false,guided,throughput,0,tree,256,9.27
40,cores,false,guided,throughput,0,tree,512,9.27667
40,cores,false,guided,throughput,0,critical,64,9.29
40,cores,false,guided,throughput,0,critical,128,9.27667
40,cores,false,guided,throughput,0,critical,256,9.28
40,cores,false,guided,throughput,0,critical,512,9.27333
40,cores,false,guided,throughput,0,atomic,64,9.27333
40,cores,false,guided,throughput,0,atomic,128,9.27667
40,cores,false,guided,throughput,0,atomic,256,9.29
40,cores,false,guided,throughput,0,atomic,512,9.28333
40,cores,false,guided,throughput,200,tree,64,9.29
40,cores,false,guided,throughput,200,tree,128,9.30333
40,cores,false,guided,throughput,200,tree,256,9.3
40,cores,false,guided,throughput,200,tree,512,9.27667
40,cores,false,guided,throughput,200,critical,64,9.27667
40,cores,false,guided,throughput,200,critical,128,9.28667
40,cores,false,guided,throughput,200,critical,256,9.28667
40,cores,false,guided,throughput,200,critical,512,9.28667
40,cores,false,guided,throughput,200,atomic,64,9.28333
40,cores,false,guided,throughput,200,atomic,128,9.30333
40,cores,false,guided,throughput,200,atomic,256,9.28
40,cores,false,guided,throughput,200,atomic,512,9.31333
40,cores,false,guided,throughput,infinite,tree,64,9.32667
40,cores,false,guided,throughput,infinite,tree,128,9.28
40,cores,false,guided,throughput,infinite,tree,256,9.28
40,cores,false,guided,throughput,infinite,tree,512,9.30667
40,cores,false,guided,throughput,infinite,critical,64,9.3
40,cores,false,guided,throughput,infinite,critical,128,9.27
40,cores,false,guided,throughput,infinite,critical,256,9.31
40,cores,false,guided,throughput,infinite,critical,512,9.28333
40,cores,false,guided,throughput,infinite,atomic,64,9.29
40,cores,false,guided,throughput,infinite,atomic,128,9.28
40,cores,false,guided,throughput,infinite,atomic,256,9.28
40,cores,false,guided,throughput,infinite,atomic,512,9.27667
40,cores,false,guided,turnaround,0,tree,64,9.27333
40,cores,false,guided,turnaround,0,tree,128,9.27
40,cores,false,guided,turnaround,0,tree,256,9.32333
40,cores,false,guided,turnaround,0,tree,512,9.27333
40,cores,false,guided,turnaround,0,critical,64,9.26667
40,cores,false,guided,turnaround,0,critical,128,9.26667
40,cores,false,guided,turnaround,0,critical,256,9.27
40,cores,false,guided,turnaround,0,critical,512,9.27667
40,cores,false,guided,turnaround,0,atomic,64,9.27333
40,cores,false,guided,turnaround,0,atomic,128,9.27
40,cores,false,guided,turnaround,0,atomic,256,9.27
40,cores,false,guided,turnaround,0,atomic,512,9.29
40,cores,false,guided,turnaround,200,tree,64,9.28333
40,cores,false,guided,turnaround,200,tree,128,9.28333
40,cores,false,guided,turnaround,200,tree,256,9.28333
40,cores,false,guided,turnaround,200,tree,512,9.28333
40,cores,false,guided,turnaround,200,critical,64,9.28667
40,cores,false,guided,turnaround,200,critical,128,9.28333
40,cores,false,guided,turnaround,200,critical,256,9.27667
40,cores,false,guided,turnaround,200,critical,512,9.27667
40,cores,false,guided,turnaround,200,atomic,64,9.31667
40,cores,false,guided,turnaround,200,atomic,128,9.28333
40,cores,false,guided,turnaround,200,atomic,256,9.29
40,cores,false,guided,turnaround,200,atomic,512,9.28
40,cores,false,guided,turnaround,infinite,tree,64,9.27667
40,cores,false,guided,turnaround,infinite,tree,128,9.29
40,cores,false,guided,turnaround,infinite,tree,256,9.27667
40,cores,false,guided,turnaround,infinite,tree,512,9.28333
40,cores,false,guided,turnaround,infinite,critical,64,9.31
40,cores,false,guided,turnaround,infinite,critical,128,9.28333
40,cores,false,guided,turnaround,infinite,critical,256,9.28
40,cores,false,guided,turnaround,infinite,critical,512,9.27
40,cores,false,guided,turnaround,infinite,atomic,64,9.28333
40,cores,false,guided,turnaround,infinite,atomic,128,9.29
40,cores,false,guided,turnaround,infinite,atomic,256,9.27667
40,cores,false,guided,turnaround,infinite,atomic,512,9.32
40,cores,false,auto,throughput,0,tree,64,9.27667
40,cores,false,auto,throughput,0,tree,128,9.29
40,cores,false,auto,throughput,0,tree,256,9.27667
40,cores,false,auto,throughput,0,tree,512,9.27333
40,cores,false,auto,throughput,0,critical,64,9.27333
40,cores,false,auto,throughput,0,critical,128,9.29667
40,cores,false,auto,throughput,0,critical,256,9.27333
40,cores,false,auto,throughput,0,critical,512,9.27
40,cores,false,auto,throughput,0,atomic,64,9.29667
40,cores,false,auto,throughput,0,atomic,128,9.27333
40,cores,false,auto,throughput,0,atomic,256,9.27333
40,cores,false,auto,throughput,0,atomic,512,9.27
40,cores,false,auto,throughput,200,tree,64,9.27667
40,cores,false,auto,throughput,200,tree,128,9.27333
40,cores,false,auto,throughput,200,tree,256,9.28
40,cores,false,auto,throughput,200,tree,512,9.30333
40,cores,false,auto,throughput,200,critical,64,9.29
40,cores,false,auto,throughput,200,critical,128,9.31
40,cores,false,auto,throughput,200,critical,256,9.27333
40,cores,false,auto,throughput,200,critical,512,9.29333
40,cores,false,auto,throughput,200,atomic,64,9.27333
40,cores,false,auto,throughput,200,atomic,128,9.28
40,cores,false,auto,throughput,200,atomic,256,9.27667
40,cores,false,auto,throughput,200,atomic,512,9.27333
40,cores,false,auto,throughput,infinite,tree,64,9.27333
40,cores,false,auto,throughput,infinite,tree,128,9.31
40,cores,false,auto,throughput,infinite,tree,256,9.28333
40,cores,false,auto,throughput,infinite,tree,512,9.27667
40,cores,false,auto,throughput,infinite,critical,64,9.27333
40,cores,false,auto,throughput,infinite,critical,128,9.3
40,cores,false,auto,throughput,infinite,critical,256,9.28
40,cores,false,auto,throughput,infinite,critical,512,9.27667
40,cores,false,auto,throughput,infinite,atomic,64,9.27333
40,cores,false,auto,throughput,infinite,atomic,128,9.31
40,cores,false,auto,throughput,infinite,atomic,256,9.34333
40,cores,false,auto,throughput,infinite,atomic,512,9.28
40,cores,false,auto,turnaround,0,tree,64,9.27667
40,cores,false,auto,turnaround,0,tree,128,9.27667
40,cores,false,auto,turnaround,0,tree,256,9.27
40,cores,false,auto,turnaround,0,tree,512,9.27333
40,cores,false,auto,turnaround,0,critical,64,9.27
40,cores,false,auto,turnaround,0,critical,128,9.27
40,cores,false,auto,turnaround,0,critical,256,9.27667
40,cores,false,auto,turnaround,0,critical,512,9.29
40,cores,false,auto,turnaround,0,atomic,64,9.27333
40,cores,false,auto,turnaround,0,atomic,128,9.27333
40,cores,false,auto,turnaround,0,atomic,256,9.27
40,cores,false,auto,turnaround,0,atomic,512,9.29667
40,cores,false,auto,turnaround,200,tree,64,9.28333
40,cores,false,auto,turnaround,200,tree,128,9.29333
40,cores,false,auto,turnaround,200,tree,256,9.28333
40,cores,false,auto,turnaround,200,tree,512,9.3
40,cores,false,auto,turnaround,200,critical,64,9.28
40,cores,false,auto,turnaround,200,critical,128,9.27667
40,cores,false,auto,turnaround,200,critical,256,9.28333
40,cores,false,auto,turnaround,200,critical,512,9.28333
40,cores,false,auto,turnaround,200,atomic,64,9.28
40,cores,false,auto,turnaround,200,atomic,128,9.30333
40,cores,false,auto,turnaround,200,atomic,256,9.29
40,cores,false,auto,turnaround,200,atomic,512,9.30333
40,cores,false,auto,turnaround,infinite,tree,64,9.30333
40,cores,false,auto,turnaround,infinite,tree,128,9.29333
40,cores,false,auto,turnaround,infinite,tree,256,9.28667
40,cores,false,auto,turnaround,infinite,tree,512,9.27667
40,cores,false,auto,turnaround,infinite,critical,64,9.27667
40,cores,false,auto,turnaround,infinite,critical,128,9.28333
40,cores,false,auto,turnaround,infinite,critical,256,9.27333
40,cores,false,auto,turnaround,infinite,critical,512,9.28
40,cores,false,auto,turnaround,infinite,atomic,64,9.31
40,cores,false,auto,turnaround,infinite,atomic,128,9.28333
40,cores,false,auto,turnaround,infinite,atomic,256,9.27667
40,cores,false,auto,turnaround,infinite,atomic,512,9.30333
40,cores,true,static,throughput,0,tree,64,9.27333
40,cores,true,static,throughput,0,tree,128,9.3
40,cores,true,static,throughput,0,tree,256,9.27333
40,cores,true,static,throughput,0,tree,512,9.27333
40,cores,true,static,throughput,0,critical,64,9.27
40,cores,true,static,throughput,0,critical,128,9.29
40,cores,true,static,throughput,0,critical,256,9.28
40,cores,true,static,throughput,0,critical,512,9.27
40,cores,true,static,throughput,0,atomic,64,9.27333
40,cores,true,static,throughput,0,atomic,128,9.27333
40,cores,true,static,throughput,0,atomic,256,9.27
40,cores,true,static,throughput,0,atomic,512,9.3
40,cores,true,static,throughput,200,tree,64,9.27333
40,cores,true,static,throughput,200,tree,128,9.27667
40,cores,true,static,throughput,200,tree,256,9.31333
40,cores,true,static,throughput,200,tree,512,9.30333
40,cores,true,static,throughput,200,critical,64,9.27333
40,cores,true,static,throughput,200,critical,128,9.28
40,cores,true,static,throughput,200,critical,256,9.27667
40,cores,true,static,throughput,200,critical,512,9.27333
40,cores,true,static,throughput,200,atomic,64,9.27333
40,cores,true,static,throughput,200,atomic,128,9.27333
40,cores,true,static,throughput,200,atomic,256,9.28
40,cores,true,static,throughput,200,atomic,512,9.32
40,cores,true,static,throughput,infinite,tree,64,9.27667
40,cores,true,static,throughput,infinite,tree,128,9.29333
40,cores,true,static,throughput,infinite,tree,256,9.28
40,cores,true,static,throughput,infinite,tree,512,9.29667
40,cores,true,static,throughput,infinite,critical,64,9.27333
40,cores,true,static,throughput,infinite,critical,128,9.3
40,cores,true,static,throughput,infinite,critical,256,9.30333
40,cores,true,static,throughput,infinite,critical,512,9.30667
40,cores,true,static,throughput,infinite,atomic,64,9.28333
40,cores,true,static,throughput,infinite,atomic,128,9.28
40,cores,true,static,throughput,infinite,atomic,256,9.29333
40,cores,true,static,throughput,infinite,atomic,512,9.27667
40,cores,true,static,turnaround,0,tree,64,9.27
40,cores,true,static,turnaround,0,tree,128,9.26667
40,cores,true,static,turnaround,0,tree,256,9.27333
40,cores,true,static,turnaround,0,tree,512,9.29333
40,cores,true,static,turnaround,0,critical,64,9.29667
40,cores,true,static,turnaround,0,critical,128,9.27
40,cores,true,static,turnaround,0,critical,256,9.27
40,cores,true,static,turnaround,0,critical,512,9.29
40,cores,true,static,turnaround,0,atomic,64,9.28
40,cores,true,static,turnaround,0,atomic,128,9.27
40,cores,true,static,turnaround,0,atomic,256,9.27333
40,cores,true,static,turnaround,0,atomic,512,9.27667
40,cores,true,static,turnaround,200,tree,64,9.3
40,cores,true,static,turnaround,200,tree,128,9.29
40,cores,true,static,turnaround,200,tree,256,9.28
40,cores,true,static,turnaround,200,tree,512,9.28333
40,cores,true,static,turnaround,200,critical,64,9.27667
40,cores,true,static,turnaround,200,critical,128,9.3
40,cores,true,static,turnaround,200,critical,256,9.28
40,cores,true,static,turnaround,200,critical,512,9.28
40,cores,true,static,turnaround,200,atomic,64,9.29333
40,cores,true,static,turnaround,200,atomic,128,9.34333
40,cores,true,static,turnaround,200,atomic,256,9.28
40,cores,true,static,turnaround,200,atomic,512,9.28
40,cores,true,static,turnaround,infinite,tree,64,9.28
40,cores,true,static,turnaround,infinite,tree,128,9.30667
40,cores,true,static,turnaround,infinite,tree,256,9.27333
40,cores,true,static,turnaround,infinite,tree,512,9.29
40,cores,true,static,turnaround,infinite,critical,64,9.27667
40,cores,true,static,turnaround,infinite,critical,128,9.27667
40,cores,true,static,turnaround,infinite,critical,256,9.31333
40,cores,true,static,turnaround,infinite,critical,512,9.31333
40,cores,true,static,turnaround,infinite,atomic,64,9.28667
40,cores,true,static,turnaround,infinite,atomic,128,9.28
40,cores,true,static,turnaround,infinite,atomic,256,9.27667
40,cores,true,static,turnaround,infinite,atomic,512,9.30667
40,cores,true,dynamic,throughput,0,tree,64,9.27333
40,cores,true,dynamic,throughput,0,tree,128,9.31667
40,cores,true,dynamic,throughput,0,tree,256,9.27333
40,cores,true,dynamic,throughput,0,tree,512,9.27667
40,cores,true,dynamic,throughput,0,critical,64,9.27
40,cores,true,dynamic,throughput,0,critical,128,9.28
40,cores,true,dynamic,throughput,0,critical,256,9.28
40,cores,true,dynamic,throughput,0,critical,512,9.27667
40,cores,true,dynamic,throughput,0,atomic,64,9.27
40,cores,true,dynamic,throughput,0,atomic,128,9.27333
40,cores,true,dynamic,throughput,0,atomic,256,9.27333
40,cores,true,dynamic,throughput,0,atomic,512,9.27333
40,cores,true,dynamic,throughput,200,tree,64,9.27667
40,cores,true,dynamic,throughput,200,tree,128,9.28667
40,cores,true,dynamic,throughput,200,tree,256,9.28333
40,cores,true,dynamic,throughput,200,tree,512,9.27667
40,cores,true,dynamic,throughput,200,critical,64,9.28667
40,cores,true,dynamic,throughput,200,critical,128,9.27333
40,cores,true,dynamic,throughput,200,critical,256,9.31333
40,cores,true,dynamic,throughput,200,critical,512,9.28333
40,cores,true,dynamic,throughput,200,atomic,64,9.3
40,cores,true,dynamic,throughput,200,atomic,128,9.27667
40,cores,true,dynamic,throughput,200,atomic,256,9.27667
40,cores,true,dynamic,throughput,200,atomic,512,9.27333
40,cores,true,dynamic,throughput,infinite,tree,64,9.28333
40,cores,true,dynamic,throughput,infinite,tree,128,9.27333
40,cores,true,dynamic,throughput,infinite,tree,256,9.27667
40,cores,true,dynamic,throughput,infinite,tree,512,9.31333
40,cores,true,dynamic,throughput,infinite,critical,64,9.28
40,cores,true,dynamic,throughput,infinite,critical,128,9.27333
40,cores,true,dynamic,throughput,infinite,critical,256,9.29
40,cores,true,dynamic,throughput,infinite,critical,512,9.28
40,cores,true,dynamic,throughput,infinite,atomic,64,9.27667
40,cores,true,dynamic,throughput,infinite,atomic,128,9.28333
40,cores,true,dynamic,throughput,infinite,atomic,256,9.3
40,cores,true,dynamic,throughput,infinite,atomic,512,9.30667
40,cores,true,dynamic,turnaround,0,tree,64,9.27667
40,cores,true,dynamic,turnaround,0,tree,128,9.27
40,cores,true,dynamic,turnaround,0,tree,256,9.27333
40,cores,true,dynamic,turnaround,0,tree,512,9.27333
40,cores,true,dynamic,turnaround,0,critical,64,9.27667
40,cores,true,dynamic,turnaround,0,critical,128,9.27667
40,cores,true,dynamic,turnaround,0,critical,256,9.27667
40,cores,true,dynamic,turnaround,0,critical,512,9.27667
40,cores,true,dynamic,turnaround,0,atomic,64,9.32
40,cores,true,dynamic,turnaround,0,atomic,128,9.28333
40,cores,true,dynamic,turnaround,0,atomic,256,9.27333
40,cores,true,dynamic,turnaround,0,atomic,512,9.27333
40,cores,true,dynamic,turnaround,200,tree,64,9.30667
40,cores,true,dynamic,turnaround,200,tree,128,9.27
40,cores,true,dynamic,turnaround,200,tree,256,9.28333
40,cores,true,dynamic,turnaround,200,tree,512,9.28
40,cores,true,dynamic,turnaround,200,critical,64,9.28333
40,cores,true,dynamic,turnaround,200,critical,128,9.31
40,cores,true,dynamic,turnaround,200,critical,256,9.27667
40,cores,true,dynamic,turnaround,200,critical,512,9.28333
40,cores,true,dynamic,turnaround,200,atomic,64,9.28
40,cores,true,dynamic,turnaround,200,atomic,128,9.28333
40,cores,true,dynamic,turnaround,200,atomic,256,9.31
40,cores,true,dynamic,turnaround,200,atomic,512,9.28333
40,cores,true,dynamic,turnaround,infinite,tree,64,9.27667
40,cores,true,dynamic,turnaround,infinite,tree,128,9.31667
40,cores,true,dynamic,turnaround,infinite,tree,256,9.33667
40,cores,true,dynamic,turnaround,infinite,tree,512,9.27667
40,cores,true,dynamic,turnaround,infinite,critical,64,9.29
40,cores,true,dynamic,turnaround,infinite,critical,128,9.27333
40,cores,true,dynamic,turnaround,infinite,critical,256,9.27667
40,cores,true,dynamic,turnaround,infinite,critical,512,9.28333
40,cores,true,dynamic,turnaround,infinite,atomic,64,9.28
40,cores,true,dynamic,turnaround,infinite,atomic,128,9.28333
40,cores,true,dynamic,turnaround,infinite,atomic,256,9.29667
40,cores,true,dynamic,turnaround,infinite,atomic,512,9.3
40,cores,true,guided,throughput,0,tree,64,9.27333
40,cores,true,guided,throughput,0,tree,128,9.28333
40,cores,true,guided,throughput,0,tree,256,9.28333
40,cores,true,guided,throughput,0,tree,512,9.27
40,cores,true,guided,throughput,0,critical,64,9.27
40,cores,true,guided,throughput,0,critical,128,9.30667
40,cores,true,guided,throughput,0,critical,256,9.28667
40,cores,true,guided,throughput,0,critical,512,9.26667
40,cores,true,guided,throughput,0,atomic,64,9.27333
40,cores,true,guided,throughput,0,atomic,128,9.27333
40,cores,true,guided,throughput,0,atomic,256,9.28333
40,cores,true,guided,throughput,0,atomic,512,9.27667
40,cores,true,guided,throughput,200,tree,64,9.28
40,cores,true,guided,throughput,200,tree,128,9.27667
40,cores,true,guided,throughput,200,tree,256,9.29667
40,cores,true,guided,throughput,200,tree,512,9.27333
40,cores,true,guided,throughput,200,critical,64,9.28333
40,cores,true,guided,throughput,200,critical,128,9.28667
40,cores,true,guided,throughput,200,critical,256,9.28333
40,cores,true,guided,throughput,200,critical,512,9.27667
40,cores,true,guided,throughput,200,atomic,64,9.30667
40,cores,true,guided,throughput,200,atomic,128,9.27667
40,cores,true,guided,throughput,200,atomic,256,9.30333
40,cores,true,guided,throughput,200,atomic,512,9.27667
40,cores,true,guided,throughput,infinite,tree,64,9.30333
40,cores,true,guided,throughput,infinite,tree,128,9.28333
40,cores,true,guided,throughput,infinite,tree,256,9.28333
40,cores,true,guided,throughput,infinite,tree,512,9.27667
40,cores,true,guided,throughput,infinite,critical,64,9.28
40,cores,true,guided,throughput,infinite,critical,128,9.27667
40,cores,true,guided,throughput,infinite,critical,256,9.28667
40,cores,true,guided,throughput,infinite,critical,512,9.33
40,cores,true,guided,throughput,infinite,atomic,64,9.28
40,cores,true,guided,throughput,infinite,atomic,128,9.27667
40,cores,true,guided,throughput,infinite,atomic,256,9.29333
40,cores,true,guided,throughput,infinite,atomic,512,9.27667
40,cores,true,guided,turnaround,0,tree,64,9.27333
40,cores,true,guided,turnaround,0,tree,128,9.27333
40,cores,true,guided,turnaround,0,tree,256,9.29667
40,cores,true,guided,turnaround,0,tree,512,9.29
40,cores,true,guided,turnaround,0,critical,64,9.27
40,cores,true,guided,turnaround,0,critical,128,9.27667
40,cores,true,guided,turnaround,0,critical,256,9.28
40,cores,true,guided,turnaround,0,critical,512,9.27333
40,cores,true,guided,turnaround,0,atomic,64,9.27333
40,cores,true,guided,turnaround,0,atomic,128,9.27
40,cores,true,guided,turnaround,0,atomic,256,9.27
40,cores,true,guided,turnaround,0,atomic,512,9.27667
40,cores,true,guided,turnaround,200,tree,64,9.33
40,cores,true,guided,turnaround,200,tree,128,9.28
40,cores,true,guided,turnaround,200,tree,256,9.27
40,cores,true,guided,turnaround,200,tree,512,9.28
40,cores,true,guided,turnaround,200,critical,64,9.31333
40,cores,true,guided,turnaround,200,critical,128,9.27667
40,cores,true,guided,turnaround,200,critical,256,9.27333
40,cores,true,guided,turnaround,200,critical,512,9.27667
40,cores,true,guided,turnaround,200,atomic,64,9.27667
40,cores,true,guided,turnaround,200,atomic,128,9.3
40,cores,true,guided,turnaround,200,atomic,256,9.28
40,cores,true,guided,turnaround,200,atomic,512,9.28
40,cores,true,guided,turnaround,infinite,tree,64,9.28
40,cores,true,guided,turnaround,infinite,tree,128,9.27667
40,cores,true,guided,turnaround,infinite,tree,256,9.29333
40,cores,true,guided,turnaround,infinite,tree,512,9.27667
40,cores,true,guided,turnaround,infinite,critical,64,9.28333
40,cores,true,guided,turnaround,infinite,critical,128,9.29667
40,cores,true,guided,turnaround,infinite,critical,256,9.31333
40,cores,true,guided,turnaround,infinite,critical,512,9.27667
40,cores,true,guided,turnaround,infinite,atomic,64,9.28333
40,cores,true,guided,turnaround,infinite,atomic,128,9.27667
